avatar_url	first_name	followers_count	full_name	id	kind	last_modified	last_name	permalink	permalink_url	uri	urn	username	verified	city	country_code	station_urn	station_permalink	badges.pro	badges.pro_unlimited	badges.verified
https://a1.sndcdn.com/images/default_avatar_large.png		7		72026400	user	2013-12-26T15:22:37Z		user655773074	https://soundcloud.com/user655773074	https://api.soundcloud.com/users/72026400	soundcloud:users:72026400	user655773074	False			soundcloud:system-playlists:artist-stations:72026400	artist-stations:72026400	False	False	False
https://a1.sndcdn.com/images/default_avatar_large.png	Adornment Events	0	Adornment Events Events	995972056	user	2021-06-11T15:15:58Z	Events	adornment-events	https://soundcloud.com/adornment-events	https://api.soundcloud.com/users/995972056	soundcloud:users:995972056	Adornment Events	False			soundcloud:system-playlists:artist-stations:995972056	artist-stations:995972056	False	False	False
https://i1.sndcdn.com/avatars-000125533909-1du7xb-large.jpg	Michelle	4	Michelle du Toit	133339144	user	2015-01-16T10:01:50Z	du Toit	michelle-du-toit-6	https://soundcloud.com/michelle-du-toit-6	https://api.soundcloud.com/users/133339144	soundcloud:users:133339144	Michelle du Toit	False			soundcloud:system-playlists:artist-stations:133339144	artist-stations:133339144	False	False	False
https://i1.sndcdn.com/avatars-000672483596-a5cjac-large.jpg		1475		112452711	user	2019-08-12T12:43:00Z		seven75-1	https://soundcloud.com/seven75-1	https://api.soundcloud.com/users/112452711	soundcloud:users:112452711	2Ϙ.	False	Paris	FR	soundcloud:system-playlists:artist-stations:112452711	artist-stations:112452711	False	False	False
https://i1.sndcdn.com/avatars-000193366568-g7vlhw-large.jpg		656		76300922	user	2016-02-12T00:27:28Z		adelliana	https://soundcloud.com/adelliana	https://api.soundcloud.com/users/76300922	soundcloud:users:76300922	Adelliana	False	Amsterdam	NL	soundcloud:system-playlists:artist-stations:76300922	artist-stations:76300922	False	False	False
https://a1.sndcdn.com/images/default_avatar_large.png		2		817585375	user	2020-05-01T11:48:41Z		user-518690500	https://soundcloud.com/user-518690500	https://api.soundcloud.com/users/817585375	soundcloud:users:817585375	amelprincess	False			soundcloud:system-playlists:artist-stations:817585375	artist-stations:817585375	False	False	False
https://i1.sndcdn.com/avatars-zrHkdtZ8rpXrkvQA-D8VpyQ-large.jpg		658		69204911	user	2021-04-28T12:28:50Z		mrteddy_us	https://soundcloud.com/mrteddy_us	https://api.soundcloud.com/users/69204911	soundcloud:users:69204911	MrTeddy	False		US	soundcloud:system-playlists:artist-stations:69204911	artist-stations:69204911	False	False	False
https://i1.sndcdn.com/avatars-000533530815-eflyr3-large.jpg	Dana	1	Dana Saleh	537837510	user	2018-11-10T14:55:04Z	Saleh	dana-saleh-579067602	https://soundcloud.com/dana-saleh-579067602	https://api.soundcloud.com/users/537837510	soundcloud:users:537837510	Dana Saleh	False			soundcloud:system-playlists:artist-stations:537837510	artist-stations:537837510	False	False	False
https://a1.sndcdn.com/images/default_avatar_large.png		10		190280405	user	2017-02-19T17:55:45Z		user-340383418	https://soundcloud.com/user-340383418	https://api.soundcloud.com/users/190280405	soundcloud:users:190280405	User 340383418	False			soundcloud:system-playlists:artist-stations:190280405	artist-stations:190280405	False	False	False
https://i1.sndcdn.com/avatars-000182226315-w8ajdo-large.jpg	Nancy	34	Nancy Ahmed	180359510	user	2019-07-08T01:55:35Z	Ahmed	nancy-ahmed-156247757	https://soundcloud.com/nancy-ahmed-156247757	https://api.soundcloud.com/users/180359510	soundcloud:users:180359510	nanoca	False			soundcloud:system-playlists:artist-stations:180359510	artist-stations:180359510	False	False	False
